comment,label
"k trâu bò, nhưng nhìn chung cũng ổn chứ k kém bền so với mặt bằng chung.",pos
"3xl dùng ngon, trước mình sài 1 tháng ưng dã man, tiếc là giờ ram 4gb cảm thấy cứ soắn soắn",pos
giá cao vl e mua con pixel 4 có 5 triệu 7 mà ổng bán 8 triệu sent from google pixel 4 via nextvoz,neg
"lock thì mỗi lần reset máy xong phải cắm vào máy tính chạy lệnh adb khá đơn giản, xong là như quốc tế, thay sim hoặc add esim ầm ầm nói chung mình thấy px lock phê hơn iphone lock",pos
"điên à mà mua khác gì mua iphone ko có faceid, mất mẹ 1 3 giá trị cái máy",neg
chính xác là chụp người và xóa phông đẹp thôi. chụp cảnh thua xa huawei...,pos
"mình thấy oke, nếu yếu cũng chỉ yếu hơn không đáng kể vì mình ở trong phòng, cách nguồn phát wifi tầm gần chục mét và 3 lớp tường vẫn bắt oke. với mình như vậy là ổn gửi từ google pixel 3 xl bằng vozfapp",pos
ở vn có bác nào nhận order 4a chưa ta page pixelvietnam thấy báo giá nhưng nhắn tin hỏi thì không trả lời,neg
4xl thương gia giờ bán 6.5 triệu thì cũng khá p p trong phân khúc đó chứ,pos
"2 con khác nhau về hệ điều hành, tùy nhu cầu fen nhé về sử dụng thì dòng 3a lag lắm, 7 plus vẫn mượt, kèo này mình vote 7 plus",neg
"bị thuốc mua con 3xl ở đây, hên cái vẫn dùng ngon nên cũng không có ác cảm gì, giá thì cao hẳn nhưng hàng họ ngon, nhận máy pin vẫn còn tốt, check choác oke hết, áp zin, cho đi bơi ầm ầm",neg
pixel 5 giá ở vn toàn tận 20 triệu .,neg
"loa thì chắc chắn hơn đứt mi 8. mic thì e ko biết, nhưng con 3xl mic thu hơi tệ, ko tịt tịt như tụi xiaomi mà nó lẫn tạp âm nhiều. nghe nói có mỗi đời 3 bị thì phải, chắc 4 ngon hơn. rung thì ngon như bên iphone. rung tê cả tay luôn. nên mua bác nhé. sent from google pixel 3 xl using vozfapp",pos
"pixel 4xl, đầm tay, pin khá, mỗi tội thời buổi covid nên cái 3d face unlock không tiện dụng mấy.",pos
"con 4a giờ giá vẫn cao quá, bằng mịa cận cao cấp rồi",neg
"tôi dùng android 11 beta vẫn k , netflix, grab, thanh toán ngân hàng bình thường mà. chỉ khi nào root mới ảnh hưởng thôi.",pos
"con 5a ra mà con 4a5g hoặc 5 giảm còn 8 triệu là em xúc, đổi con 4xl đang dùng. em thích nhỏ gọn mà pin trâu méo gì con 4a 5g tận hơn 9 triệu, 5 tận 12 triệu",neg
có ông kia bán 3xl 3.7 triệu hàng 98 via thenextvoz for iphone,pos
"re đó, mình mua hết hơn 8 triệu",pos
"mình cũng thấy con 4 xl hơn 3 xl ở cái màn 90hz mượt mà hơn thôi, còn mọi thứ như đánh giá của thím này cái ram 6gb vs 4gb nữa",pos
"bọn gg kiểu lấy người dùng ra test ý tưởng hay sao ấy, cái dark mode đang ngon nghẻ thì nó làm lại, thiết kế pixel 4 với 5 đang thấy ổn ổn thì cho ngày quả 6 tin đồn nhìn mù cả mắt",neg
"sắp về rồi đó thím, nhớ review nhé để em quất 1 con, éo hiểu sao có bản 32gb",pos
review thấy cũng có tỷ lệ máy lỗi phải đổi,neg
3xl dùng ổn à bác trước cầm mấy hôm tiếc vì màn đẹp. xem netflix công nhận cũng thích. nhưng pin yếu quá 3,pos
"có máy đẹp đó fen,nhưng bị thay pin rồi",pos
"pixel 5 mà tầm giá 12 triệu có ổn k mấy thím , bên nhật giá ngon quá ạ cam thì nghe nói cài cam mod sẽ tắt âm dc nên k lo lắm",pos
liên hệ shop trả hàng hoàn tiền thôi thím. chỉ hơn kém nhau 32gb bộ nhớ trong mà giá từ 4.2 2.8 là có vấn đề rồi,neg
"nghe gọi to rõ, rung hơi yếu so với iphone , loa thì ngon 3, 3xl gửi từ google pixel 3 xl bằng vozfapp",pos
máy pixel thấy chờ hạ nhiệt chắc cũng phải 2 năm sau,pos
chưa biết xuất sắc đến đâu nhưng riêng cái android gốc của bọn này dùng chán kinh,neg
"thua , con 3xl không 2 sim được. con 4xl thì không faceid ko nói , ko vân tay hơi bất tiện.",neg
"ko, tùy thuộc vào mục đích, lợi thế của pixel là ảnh cùng độ mượt, ngoài ra các điểm khác đám tàu ăn đứt.",pos
"chuẩn fen, gì đâu mà con pixel 3 có nơi bán 4m4, có nơi bán 6m, có nơi 5m6 cho hàng 98 99",neg
"vẫn được gọi là đẹp so với mấy con kia, chắc chắn là như vậy. nhưng lại không đa dụng bằng vì chỉ có 1 ống kính. nếu chỉ để chụp ảnh nghịch thì rất ổn",pos
lát đi làm con 3xl 128gb bên quang vinh đoàn giá phủ lý,pos
"bây giờ mua con 4a ko nên, giá khuyến mãi bên đó có 300 usd thôi, về hét giá quá đắt",neg
pin hơi yếu dùng nhiều không đủ một ngày. nhiều features và cam đẹp vậy thoai. 2 sim thì nó hên xui tùy con có con để chạy 2 sim 2 sóng mệt vkl sent from nokia cục gạch using vozfapp,pos
sao em chọn kiểu gì mà pixel 3 xl có hơn 4 triệu nhỉ package a luông,pos
này mua bên tàu chứ đâu phải đt tàu mà rén bảo mật gì thím mua online chỉ là ko coi được hàng thôi,neg
"nhi n gia pixel giơ đe p qua zơ i, tu t nhanh kinh, xem qua thâ y ae ba n 4xl toa n 7 triệu 8 triệu ma ma y đe p",pos
"thời gian chờ trên pixel quá kém các thím ạ ,ngược lại tối ưu hóa khi sử dụng ứng dụng ít hao pin thì ok . game và video call thì thôi chả buồn nói nóng như lò than",neg
pixel ngon nhưng pin yếu sinh lý quá mấy fen. đang nghía con pixel 5,pos
thấy bảo là máy không phải thị trường us uk thì ko tra được,neg
500k cục pin mới xài 1 2 năm thì có đắt đâu. thay để dt phục vụ cho mình nữa chứ,pos
thế thì mua 4a của gian thương ngon hơn nhiều,pos
hic mấy con này giờ giá rớt nhanh quá gửi từ google pixel 3a bằng vozfapp,pos
"em có ông anh có cty, nên ship về kho bên tq là chuyển về vn cho em ngay",pos
"mới lấy con 4a, mà cái thanh google search ngứa mắt quá, giờ launcher nào ngon nhẹ chạy được với android 11 anh em nhỉ gửi từ oneplus 7t bằng vozfapp",neg
"3d face unlock của android nó không ngon như iphone đâu lắm lần mở màn hình lên chả tự quét, có lúc đeo khẩu trang thì mở đc, lúc lại không.",neg
"vừa hốt con 4a 5g sau khi ra store test cả 2 con 4a5g và 5, có điều máy bản jp ko tắt tiếng cam được",neg
"em chuyên mua hàng loại 1. 2 con đầu đủ sạc cáp, dán sẵn cl, ko ốp cá biệt con pixel 4 full giáp, full hộp, tặng kèm tai nghe bluetooth loại rẻ tiền",pos
ảnh lộ con px5 thím,pos
thèm con 4a quá mà hỏi thì ship về mất 2 3 tuần,pos
mua điện thoại tàu ơi réc khoản bảo mật mà giá hấp dẫn quá,pos
thím nào có link gcam bản mới nhất ko cho mình xin về cài chứ app mặc định nó cứ kêu tách tách mà bản jp ko tắt được,neg
vâng mới 100 phụ kiện đầy đủ,pos
bảo hành gì nữa order taobao xác định vứt mẹ cái bảo hành đi,neg
"ui, e dùng nhiều telegram với viber và skype nó đơ lắm, chắc do con pixel 3 triệua e nó cổ rồi. chờ pixel 5 nó giảm e cũng làm 1 con thay thế.",neg
"3axl vừa rẻ vừa trâu bác, bác có đk thì lên pixel 5 sent from google pixel 3a xl using vozfapp",pos
4 a 7 tr,pos
"mình cũng xài pixel 3 đây, so sánh với con htc u11 thì con pixel 3 ngu si toàn tập, ăn mỗi chụp hình chứ ngoài ra mọi thứ thua hết từ pin, màn, loa, quay video, mic thu âm, mic thoại, nhiệt độ khi sử dụng điện thoại google pixel 3 đều dở như hạch.",pos
"giá rẻ mà máy ngon đó bro , hôm nào rảnh phát chạy qua lựa mới được . cứ đợi lô hàng mới về rồi qua lựa là ok",pos
giá thế là cao mà nhỉ,neg
3xl mà 4 triệu thì hơi rẻ quá đó ạ. không biết là đã can thiệp gì chưa. thực ra nếu mà thay màn cũng chả sao cơ. vì màn bọn này chắc chả có lô. với lại pixel có thay thế sửa chữa cũng k sao cơ. vì những thằng thợ làm pixel chẳng có thằng nào lởm,pos
"em vừa order gian thương ship bên tàu về, được cái họ check hàng kỹ rồi mới giao cho mình, tự ship rủi ro lắm, mua về nghịch nên cũng không gấp",pos
"unlock cũng đơn giản thôi mà, 1 nốt nhạc",pos
"mình mới liên hệ bên giaonhanuytin , vận chuyển nhanh thì tầm 2 ngày là trên tay. nếu ở hn",pos
ngon vãi. mình thích mấy con 0044. 3xl thương gia vn bán toàn 6.2 triệu 6.7 triệu. thợ cỏ thì 5.5 triệu. nguồn hàng thì cũng từ đây mà ra cả. nhẽ xúc bừa phát.,pos
"pixel thấy có đợt về lô 3a new lock, mà unlock cũng dễ có hơn 3 triệu hay phết nhỉ, tiếc mỗi emmc, ko phải ufs, chứ ko mua 1 cái nghịch",pos
"mua trúng hàng lô hả fen con 3xl của thằng bạn thấy sáng ok mà, ra nắng thì ko quá sáng nhưng cũng tạm đủ nhìn mà. còn sạc thì như bao cục 18w khác thôi, gần 2h full",pos
"ở vn thì gửi usps qua hải quan rồi về bưu điện, tầm 3 tuần. package dưới 500g tầm 35 chum qua trung gian thì ít nhất hai tuần trở lên hên xui, tầm 25 chum tổng thiệt hại là tối đa là 495 50 chum ở mẽo thì mình gửi chuyển phát liên bang tầm 4 ngày là tận tay, tầm 10 đô, thiệt hại 500 chum",pos
"uh chủ yếu là mua hàng bên đó rủi ro cao, có việc gì thì rách việc thôi",neg
"đợt này đang dùng mì xào mà quay về nhìn giá mấy con 3 3xl thấy ngứa tay quá con 3xl dùng sướng vl mà có 2 triệu, ghét mỗi cái 1 sim. pixel 4 giá 4 triệu thì cũng êm đấy nhưng tính ra chả hơn mấy, mà giá gấp 2",pos
đang đặt 32 gb đây đang dùng 1 máy rồi con 3a cũng để nghe gọi chụp vớ vẩn thôi chả quan trọng lắm hàng đang tq vn rồi mong có trước sinh nhật,pos
"p3 nóng hơn nè, màn xấu hơn nè, nhỏ hơn nè, thiết kế cũng k có kính 3d như u11 nè. loa nghe dở hơn nè, thu âm tệ hơn nè, pin cũng cùi hơn nè nhiêu đó đủ chưa",neg
chịu đc pin yếu thì ok.,pos
"rung dc, ko yếu, mỗi tội auto độ sáng ko nuột lắm, chắc vấn đề chung của nhưng con full màn, cảm biến nó khó như những con màn viền dày như xưa sent from google pixel 5 using vozfapp",pos
tìm hiểu lại thì boss gg photos nói px 2 5 vẫn unlimited nhưng chỉ dc hq. vụ xl đời 1 mình đọc đâu đó éo nhớ cũng tìm éo thấy nên chắc fail,pos
quất lại cho anh em thấy,pos
công nhận là cũng rẻ. tự nhiên thấy giá xperia 1 mất vân tay pixel 4 cũng phân vân ghê.. sent from oneplus gm1915 using vozfapp,pos
mua shopee có hơn 3 triệu fullbox con 3a xl thôi,pos
"bác có dùng zalopay ko check hộ e với, cứ mở app lên là crash app ngay, ko vào nổi sent from google pixel via nextvoz",neg
"e thấy trên group fb đăng vậy hình như bonmobile gì đó, 3xl mới 3.7 triệu",pos
mấy con đầu 3 thấy nhiều người bảo bị loạn cảm ứng khi up 11 via thenextvoz for iphone,neg
"pixel giờ phổ biến rồi, đầy thợ sửa",pos
ko có cảm biến quang phổ với chip xử lý pixel visual core đâu thím,neg
vừa thấy giá xong giá này mấy bố kia khóc thét. đợi pixel 4 xuống 4m5 4m8 hoyyy. sent from realme rmx2121 using vozfapp,neg
"công nhận, sạc xong chả làm gì, hơn chục phút đã thấy hụt xuống 99 rồi, rồi cứ rớt dần rớt dần 98 97 . nhưng nếu xài liên tục thì thời gian onscreen tạm ổn.",neg
mới lấy con 3axl mà cái màn nó xấu hơn cả con live 1,neg
"máy em lỗi trả bảo hành bên vận chuyển , giao cho bọn bán rồi đợi hàng về thôi",pos
